Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Firebird-C,USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,LEO,437.0,667.0,0.0166,99.1,95.7,1/31/2015,Montana State University,USA,Vandenberg AFB,Delta 2,2015-003B,40377.0
Firebird-D,USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,LEO,444.0,675.0,0.0167,99.1,97.7,1/31/2015,Montana State University,USA,Vandenberg AFB,Delta 2,2015-003C,40378.0
Firefly,NR,NASA/Sienna College/Univ. of Maryland,USA,Government/Civil,Earth Science,LEO,437.0,449.0,0.000881,40.5,94.68,11/19/2013,National Science Foundation,USA,Wallops Island Flight Facility,Minotaur 1,2013-064R,39395.0
USA 46,USA,US Navy,USA,Military,Communications,GEO,35745.0,35829.0,0.000996,8.97,1436.13,9/25/1989,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,1989-077A,20253.0
Formosat-2,NR,National Space Program Office (NSPO),Taiwan,Government/Military,Earth Observation,LEO,890.0,893.0,0.000207,99.0,102.8,5/21/2004,Astrium/NSPO,France/UK/Germany/Taiwan,Vandenberg AFB,Taurus XL,2004-018A,28254.0
Fast On-orbit Recording of Transient Events) FORTÉ ,USA,Los Alamos National Labs/DOE,USA,Government,Earth Observation,LEO,790.0,823.0,0.0023,70.0,101,8/29/1997,Los Alamos National Lab/Sandia National Lab,USA,Vandenberg AFB,Pegasus XL,1997-047A,24920.0
Fox-1A,NR,AMSAT-NA,USA,Civil,Communications/Technology Development,LEO,496.0,802.0,0.0218,64.78,97.7,10/8/2015,AMSAT/Penn State University/Vanderbilt University/Virginia Tech,USA,Cape Canaveral,Atlas 5,2015-058D,40967.0
FUNCube-1 (AO-73),NR,AMSAT-UK,Netherlands,Civil,Communications,LEO,594.0,683.0,0.00635,97.8,97.4,11/21/2013,AMSAT/UK-AMSAT/NL,UK/Netherlands,Dombarovsky Air Base,Dnepr,2013-066AE,39444.0
Galassia,NR,National University of Singapore,Singapore,Civil,Earth Science,LEO,529.0,549.0,0.00145,14.98,95.43,12/16/2015,National University of Singapore,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077E,41170.0
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,GEO,35785.0,35795.0,0.000119,0.05,1436.11,1/21/1999,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1999-071A,26038.0
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,GEO,35775.0,35796.0,0.000249,0.05,1436.07,4/9/2003,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2003-013B,27715.0
Galaxy-13,USA,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",USA/Japan,Commercial,Communications,GEO,35781.0,35790.0,0.000107,0.01,1436.07,10/1/2003,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3,2003-044A,27954.0
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,GEO,35776.0,35795.0,0.000225,0.01,1436.07,8/13/2005,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Soyuz-Fregat ,2005-030A,28790.0
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,GEO,35776.0,35795.0,0.000225,0.06,1436.07,10/13/2005,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2005-041A,28884.0
Galaxy-16,USA,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,GEO,35775.0,35798.0,0.000273,0.01,1436.1,6/18/2006,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2006-023A,29236.0
Galaxy-17,USA,"Intelsat, Ltd.",USA,Commercial,Communications,GEO,35774.0,35799.0,0.000297,0.02,1436.1,5/4/2007,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2007-016B,31307.0
Galaxy-18,USA,"Intelsat, Ltd.",USA,Commercial,Communications,GEO,35774.0,35798.0,0.000285,0.02,1436.1,5/21/2008,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2008-024A,32951.0
Galaxy-19,USA,"Intelsat, Ltd.",USA,Commercial,Communications,GEO,35776.0,35796.0,0.000237,0.05,1436.1,9/24/2008,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2008-045A,33376.0
Galaxy-25,USA,"Intelsat, Ltd. ",USA,Commercial,Communications,GEO,35771.0,35801.0,0.000356,0.03,1436.08,5/24/1997,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,1997-026A,24812.0
Galaxy-28,USA,"Intelsat, Ltd.",USA,Commercial,Communications,GEO,35775.0,35798.0,0.000273,0.01,1436.1,6/23/2005,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2005-022A,28702.0
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)/DirecTV L.A.",USA,Commercial,Communications,GEO,35784.0,35788.0,4.74e-05,0.01,1436.11,6/15/2002,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2002-030A,27445.0
Galileo FOC FM1,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,17231.0,25971.0,0.156,49.78,776.25,8/22/2014,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050A,40128.0
Galileo FOC FM10,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23272.0,23280.0,0.000135,57.4,847.01,5/24/2016,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030A,41549.0
Galileo FOC FM11,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23483.0,23530.0,0.000787,57.4,856.9,5/24/2016,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030B,41550.0
Galileo FOC FM2,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,13810.0,25918.0,0.231,49.77,705.11,8/22/2014,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129.0
Galileo FOC FM3,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23516.0,23574.0,0.000969,55.0,858.55,3/27/2015,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544.0
Galileo FOC FM4,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23353.0,23382.0,0.000488,55.1,850.5,3/27/2015,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545.0
Galileo FOC FM5,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23218.0,23240.0,0.000372,57.1,845,9/11/2015,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045A,40889.0
Galileo FOC FM6,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23220.0,23239.0,0.000321,57.1,844,9/11/2015,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-045B,40890.0
Galileo FOC FM8,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23550.0,23618.0,0.00114,54.96,860.51,12/17/2015,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079B,41175.0
Galileo FOC FM9,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23551.0,23568.0,0.000284,54.95,858.34,12/17/2015,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-079A,41174.0
Galileo IOV-1 FM2,NR,European Space Agency,ESA,Commerical,Navigation/Global Positioning,MEO,23242.0,23307.0,0.0011,54.67,846.98,10/21/2011,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060B,37847.0
Galileo IOV-1 PFM,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23240.0,23306.0,0.00111,54.68,846.88,10/21/2011,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060A,37846.0
Galileo IOV-2 FM3,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23214.0,23233.0,0.000321,55.34,844.76,10/12/2012,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055A,38857.0
Galileo IOV-2 FM4,NR,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,23217.0,23227.0,0.000169,55.3,844.69,10/12/2012,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055B,38858.0
Gaofen 1,China,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,LEO,630.0,654.0,0.00171,98.07,97.56,4/26/2013,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2013-018A,39150.0
Gaofen 2,NR,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,LEO,620.0,636.0,0.00114,98.02,97.06,8/19/2014,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2014-049A,40118.0
Gaofen 4,NR,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,GEO,35792.0,35796.0,4.74e-05,0.6,1436.1,12/28/2015,China Aerospace Science and Technology Corporation,China,Xichang Satellite Launch Center,Long March 3B,2015-083A,41194.0
Gaofen 8,NR,Shanghai Academy of Spaceflight Technology (SAST),China,Government,Earth Observation,LEO,484.0,492.0,0.000583,97.3,94.36,6/26/2015,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2015-030A,40701.0
Gaofen 9,NR,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,LEO,618.0,664.0,0.00328,98.01,97.54,9/14/2015,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2015-047A,40894.0
Cosmos 2473,Russia,Ministry of Defense,Russia,Military,Communications,GEO,35782.0,35790.0,9.49e-05,0.09,1436.1,9/20/2011,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-048A,37806.0
Cosmos 2513,NR,Ministry of Defense,Russia,Military,Communications,GEO,35783.0,35805.0,0.000261,0.0,1436.1,12/10/2015,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2015-075A,41121.0
Garuda-1,Indonesia,Asia Cellular Satellite,Indonesia/Philippines/Thailand,Commercial,Communications,GEO,35774.0,35801.0,0.00032,1.22,1436.16,2/12/2000,Lockheed Martin Missiles and Space,USA,Baikonur Cosmodrome,Proton,2000-011A,26089.0
GATOSS,NR,GomSpace ApS,Denmark,Commercial,Technology Development,LEO,593.0,819.0,0.016,97.7,98.9,11/21/2013,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr,2013-066Q,39430.0
GEARRSAT-2,NR,NearSpace Launch/Air Force Research Laboratory,USA,Government,Technology Development,LEO,356.0,700.0,0.0249,55.0,95,5/20/2015,NearSpace Launch/Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5,2015-025G,40657.0
Genesis-1,USA,Bigelow Aerospace,USA,Commercial,Technology Development,LEO,522.0,569.0,0.0034,64.5,95.6,7/12/2006,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2006-029A,29252.0
Genesis-2,USA,Bigelow Aerospace,USA,Commercial,Technology Development,LEO,508.0,586.0,0.00564,64.5,95.6,6/28/2007,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2007-028A,31789.0
Cosmos 2517,NR,Ministry of Defense,Russia,Military,Earth Science,LEO,935.0,963.0,0.00191,99.27,104.03,6/5/2016,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2016-034A,41579.0
GeoEye-1,USA,DigitalGlobal Corporation,USA,Commercial/Government,Earth Observation,LEO,671.0,686.0,0.00106,98.1,98.3,9/6/2008,General Dynamics,USA,Vandenberg AFB,Delta 2,2008-042A,33331.0
Geomagnetic Tail Laboratory (Geotail),Japan,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Multinational,Government,Space Science,Elliptical,49551.0,191451.0,0.559,9.39,2474.83,7/24/1992,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2,1992-044A,22049.0
GHGSat-D,NR,"GHGSat, Inc.",Canada,Commercial,Earth Science,LEO,500.0,512.0,0.000873,97.5,94.7,6/22/2016,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Canada,Satish Dhawan,PSLV XL,2016-040D,41602.0
GCOM-1,Japan,Japan Aerospace Exploration Agency (JAXA),USA/Japan,Government,Earth Observation,LEO,701.0,704.0,0.000212,98.2,98.8,5/17/2012,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-II2,2012-025A,38337.0
Globalstar FM4,USA,Globalstar ,USA,Commercial,Communications,LEO,1407.0,1412.0,0.000321,52.0,114,2/14/1998,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-008B,25163.0
Globalstar FM8,USA,Globalstar ,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,52.0,114.1,4/24/1998,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-023B,25307.0
Globalstar M023,USA,Globalstar ,USA,Commercial,Communications,LEO,1406.0,1422.0,0.00103,52.0,114.1,2/9/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004A,25621.0
Globalstar M026,USA,Globalstar ,USA,Commercial,Communications,LEO,1412.0,1416.0,0.000257,52.0,114.1,7/25/1999,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041A,25872.0
Globalstar M027,USA,Globalstar ,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,8/17/1999,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-043B,25884.0
Globalstar M028,USA,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,7/25/1999,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041B,25873.0
Globalstar M029,USA,Globalstar ,USA,Commercial,Communications,LEO,900.0,1413.0,0.0341,52.0,114.1,11/22/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062C,25963.0
Globalstar M031,USA,Globalstar ,USA,Commercial,Communications,LEO,1477.0,1478.0,6.37e-05,52.0,114.1,10/18/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058D,25946.0
Globalstar FM37,USA,Globalstar ,USA,Commercial,Communications,LEO,1411.0,1417.0,0.000385,52.0,114.1,3/15/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-012D,25652.0
Globalstar M039,USA,Globalstar ,USA,Commercial,Communications,LEO,1411.0,1416.0,0.000321,52.0,114.1,11/22/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062A,25961.0
Globalstar M040,USA,Globalstar ,USA,Commercial,Communications,LEO,1415.0,1416.0,6.42e-05,52.0,114.1,2/9/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004B,25622.0
Globalstar M056,USA,Globalstar ,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,10/18/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058C,25945.0
Globalstar M059,USA,Globalstar ,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,52.0,114.1,10/18/1999,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058B,25944.0
Globalstar M063,USA,Globalstar  ,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,2/8/2000,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,2000-008A,26081.0
Globalstar M065,USA,Globalstar,USA,Commercial,Communications,LEO,1411.0,1416.0,0.000321,52.0,114.1,5/29/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020A,31571.0
Globalstar M066,USA,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,10/20/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048C,32265.0
Globalstar M067,USA,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,10/20/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048A,32263.0
Globalstar M068,USA,Globalstar,USA,Commercial,Communications,LEO,1411.0,1414.0,0.000193,52.0,114,10/20/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048D,32266.0
Globalstar M069,USA,Globalstar,USA,Commercial,Communications,LEO,1411.0,1416.0,0.000321,52.0,114.1,5/29/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020C,31573.0
Globalstar M070,USA,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,10/20/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048B,32264.0
Globalstar M071,USA,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,5/29/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020F,31576.0
Globalstar M072,USA,Globalstar,USA,Commercial,Communications,LEO,1412.0,1416.0,0.000257,52.0,114.1,5/29/2007,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020D,31574.0
Globalstar M073,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,10/19/2010,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054F,37193.0
Globalstar M074,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,52.0,114.1,10/19/2010,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054B,37189.0
Globalstar M075,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,52.0,114.1,10/19/2010,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054E,37192.0
Globalstar M076,France,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,10/19/2010,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054C,37190.0
Globalstar M077,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,10/19/2010,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054D,37191.0
Globalstar M078,France,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,51.99,114.08,2/6/2013,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005E,39076.0
Globalstar M079,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,10/19/2010,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054A,37188.0
Globalstar M080,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,12/28/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080B,38041.0
Globalstar M081,France,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,7/13/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033E,37743.0
Globalstar M082,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,12/28/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080C,38042.0
Globalstar M083,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,7/13/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033A,37739.0
Globalstar M084,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,12/28/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080A,38040.0
Globalstar M085,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,52.0,114.1,7/13/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033D,37742.0
Globalstar M086,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,12/28/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080F,38045.0
Globalstar M088,France,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,52.0,114.1,7/13/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033B,37740.0
Globalstar M089,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,51.99,118.2,7/13/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033F,37744.0
Globalstar M090,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,12/28/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080E,38044.0
Globalstar M091,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1415.0,0.000128,52.0,114.1,7/13/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033C,37741.0
Globalstar M092,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.0,114.1,12/28/2011,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080D,38043.0
Globalstar M093,France,Globalstar,USA,Commercial,Communications,LEO,1412.0,1415.0,0.000193,51.98,113.35,2/6/2013,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005B,39073.0
Globalstar M094,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,51.99,103.44,2/6/2013,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005C,39074.0
Globalstar M095,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,51.98,114.08,2/6/2013,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005F,39077.0
Globalstar M096,France,Globalstar,USA,Commercial,Communications,LEO,1413.0,1414.0,6.42e-05,52.01,103.48,2/6/2013,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005D,39075.0
Globalstar M097,France,Globalstar,USA,Commercial,Communications,LEO,1370.0,1391.0,0.00135,52.01,113.96,2/6/2013,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005A,39072.0
Cosmos 2471,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19116.0,19146.0,0.000588,64.77,675.78,2/26/2011,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-009A,37372.0
Cosmos 2501,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19103.0,19178.0,0.00147,64.83,676.15,12/1/2014,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-075A,40315.0
Cosmos 2419,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19118.0,19125.0,0.000137,64.8,675.39,12/25/2005,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2005-050A,28915.0
Cosmos 2424,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19130.0,19130.0,0.0,64.8,675.75,12/25/2006,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062C,29672.0
Cosmos 2425,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19130.0,19130.0,0.0,64.8,675.75,12/25/2006,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062A,29670.0
Cosmos 2426,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19130.0,19130.0,0.0,64.8,675.75,12/25/2006,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062B,29671.0
Cosmos 2432,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19094.0,19171.0,0.00151,64.9,675.83,10/26/2007,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2007-052B,32276.0
Cosmos 2433,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19124.0,19133.0,0.000176,64.9,675.67,10/26/2007,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2007-052A,32275.0
Cosmos 2434,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19142.0,19378.0,0.0046,64.66,680.91,12/25/2007,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2007-065A,32393.0
Cosmos 2436,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19147.0,19365.0,0.00425,64.67,680.75,12/25/2007,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2007-065C,32395.0
Cosmos 2443,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19134.0,19145.0,0.000216,64.79,676.1,9/25/2008,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2008-046B,33379.0
Cosmos 2456,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19132.0,19419.0,0.0056,64.81,681.53,12/14/2009,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070A,36111.0
Cosmos 2459,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19119.0,19146.0,0.000529,64.76,675.85,3/1/2010,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007A,36400.0
Cosmos 2460,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19131.0,19133.0,3.92e-05,64.77,675.81,3/1/2010,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007C,36402.0
Cosmos 2457,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,18864.0,19130.0,0.00524,64.78,670.47,12/14/2009,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070B,36112.0
Cosmos 2458,Russia,Ministry of Defense,Russia,Military/Commercial,Navigation/Global Positioning,MEO,19098.0,19129.0,0.000608,64.8,675.08,12/14/2009,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070C,36113.0
